@relation 'final-weka.filters.unsupervised.attribute.Reorder-R1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,2'

@attribute Plant.start numeric
@attribute harvested.area numeric
@attribute temp.at.planting numeric
@attribute precip.at.planting numeric
@attribute Crop.name {Wheat,Maize,Beans,Potato,Barley,Rice,Sorghum,Potatoes,Millet,'Winter Wheat',Cotton,'Potato (main)','Winter Rye','Spring Barley','Maize (main)','Maize (second)',Cassava,Yams,Soybean,'Sweet Potato','Beans (main)','Sorghum (main)','Sorghum (second)','Main Wet Season Rice','Dry Season Rice',Pulses,Sugarbeet,'Rice (main)','Rice (second)','Sweet Potatoes','Soya Bean','Potato (Main Season)','Maize (main crop)','Maize (off season crop)','Rice (main crop)','Rice (off season crop)','Wheat (Meher)','Maize (Meher)','Sorghum (Meher)','Millet (Meher)','Oats (Meher)','Barley (Meher)',Groundnut,'Rice (main season)','Rice (second season)','Spring Wheat','Wheat (long rains)','Maize (long rains)','Maize (short rains)','Millet (long rains)','Sorghum (long rains)','Sorghum (short rains)','Barley (long rains)','Beans (long rains)','Rice (wet season)','Rice (dry season)',Sunflower,'Rice (rainfed)','Rice (irrigated)','Rice (off-season)','Winter wheat','Rice (upland)',Cowpea,'Maize (Gu)','Maize (Der)','Millet (main)',Peanut,'Aman rice','Boro rice','Corn (1)',Corn,'Single-crop rice','Early double-crop rice','Late double-crop rice','Spring wheat',Groundnuts,'Winter Rapeseed',Oat,'Barley (winter)',Rapeseed,Sugarbeets,'Winter Barley',Rye,'Sorghum (summer)','Sorghum (winter)',Oats,'Soft wheat','Durum wheat','Winter barley','Spring barley','Winter rapeseed',Sunseed,Soybeans,'Rice (second crop)','Tenth month Rice','Winter-spring Rice','Rice, main crop','Corn, first crop','Corn, Dry season','Corn, rainy season','Corn (2)','Barley - spring','Barley - winter','Beans - dry','Oats - spring','Oats - winter',Peanuts,'Potatoes - fall',Sunflowers,'Sweet potatoes','Wheat - spring','Wheat - winter','Paddy - I','Paddy - II',Bajra,'Jowar (Kharif)','Jowar (Rabi)','Groundnut (Kharif)','Paddy (Kharif)','Paddy (Rabi)',Rape,'Bajra (Kharif)','Wheat (Rabi)','Maize (Kharif)',Paddy,'Cotton (Hybrid)',Jowar,'Cotton (Kharif)','Sunflower (Kharif)','Soyabean (Kharif)','Groundnut (Rabi)',Mung,'Ragi (Kharif)',Gram,'Aman paddy/Kharif','Boro paddy/Rabi','Broom Millet','Cotton (coast)','Cotton (lake)',Sunflowerseed,'Irish Potatoes','Rice (main - north region)','Rice (main - south region)','Rice (second - north region)','Rice (second - south region)','Peanuts (north)','Peanuts (south)','Soybeans (north)','Soybeans (east)','Sweet Potatoes (north)','Sweet Potatoes (south)','Cotton (Gu)','Beans (Gu)','Corn (north - vuli rains)','Millet (north)','Rice (north)','Cotton (west)','Cotton (east)','Soybeans (south)','Wheat (summer)','Sorghum (Gu)','Sorghum (Deyr)'}

@data
126,11.939933,27.114168,52.59231,Rice
274,1.993621,24.272176,78.20968,Rice
284,0.850359,10.277937,104.829862,Sorghum
305,0,25.093166,128.476597,Sorghum
132,7.944002,28.514865,435.121989,Sorghum
121,1512.195283,27.303397,151.311826,Sorghum
335,555.638499,25.281643,82.757706,Sorghum
284,4298.891692,24.608673,237.566379,Sorghum
121,10924.68468,29.911081,104.399242,Sorghum
121,3971.753542,23.822184,189.987929,Sorghum
152,431.985267,24.761767,169.07485,Sorghum
152,4848.723171,27.585515,143.212453,Sorghum
10,720.901232,23.8205,86.007607,Sorghum
91,842.145533,23.1778,48.008112,Sorghum
91,112.312416,11.496634,67.12669,Sorghum
152,1018.301183,25.140829,282.418011,Sorghum
152,1775.865249,25.851406,88.416355,Sorghum
152,172.372478,28.842509,158.394203,Sorghum
121,2498.814959,27.336277,146.47064,Sorghum
121,58.93525,27.29522,152.061342,Sorghum
121,142.655119,29.165497,97.229702,Sorghum
152,1366.94874,25.563913,151.450575,Sorghum
70,5.29529,15.39732,52.020532,Sorghum
121,580.906176,26.106999,144.64712,Sorghum
71,0.959157,19.119083,10.81005,Sorghum
101,8.840826,15.027747,30.449417,Sorghum
305,252.159346,16.453593,93.178831,Sorghum
335,19.900308,24.448217,244.82173,Sorghum
335,235.16555,24.369638,226.915039,Sorghum
121,5252.093703,30.259722,96.393623,Sorghum
182,1330.319494,30.572409,108.70715,Sorghum
305,3834.775475,26.046657,136.422608,Sorghum
335,97.599624,25.177097,84.150075,Sorghum
168,20753.86928,29.301436,136.69973,Sorghum
121,56479.04261,28.504548,121.166877,Sorghum
162,3704.898669,32.751825,70.4086,Sorghum
254,228.048721,22.367033,183.054023,Sorghum
102,0.84982,13.047945,28.284298,Sorghum
222,843.114651,30.246167,6.847586,Sorghum
168,1546.78783,28.937818,157.27704,Sorghum
121,137.896927,26.630342,273.861905,Sorghum
335,1104.254758,21.547152,107.121421,Sorghum
91,15.244416,14.228195,103.686791,Sorghum
91,2644.513857,30.729784,33.762074,Sorghum
152,44798.14971,29.113664,102.191094,Sorghum
335,10.43106,21.935202,129.491478,Sorghum
335,1255.716816,24.785834,169.286515,Sorghum
1,3590.377784,22.507365,118.668928,Sorghum
102,852.167721,28.204744,198.016186,Sorghum
121,1910.550411,26.671915,158.524456,Sorghum
274,254.260224,19.303359,91.093583,Sorghum
283,2304.522538,26.555191,109.31413,Sorghum
319,332.652117,23.520619,218.212153,Sorghum
335,1463.910246,24.526326,125.893827,Sorghum
280,6498.918793,22.120602,104.511798,Sorghum
111,112.779912,13.596185,46.877251,Sorghum
91,35.085018,21.404115,109.43185,Sorghum
96,764.19893,19.99919,131.29183,Sorghum
130,497.2582,19.741101,59.579373,Sorghum
105,112.644605,23.356579,105.536535,Sorghum
140,318.745374,22.281079,96.754507,Sorghum
130,12880.42259,21.938468,101.858168,Sorghum
130,37.257503,22.269565,104.531259,Sorghum
90,474.459713,22.565707,136.750559,Sorghum
92,263.251601,21.497778,130.390659,Sorghum
115,1153.704621,20.597687,116.742446,Sorghum
131,2177.556246,19.461393,103.859787,Sorghum
130,483.682237,21.903228,54.453286,Sorghum
125,44.080872,22.703272,106.107791,Sorghum
120,1512.8425,21.863745,90.863575,Sorghum
115,16.034528,24.088437,117.266564,Sorghum
134,376.593281,18.687973,80.803273,Sorghum
105,58.268467,20.992749,124.106164,Sorghum
62,11860.05029,21.497232,72.270974,Sorghum
244,1391.787761,20.055151,67.274693,Sorghum
244,5054.389073,24.508632,82.167108,Sorghum
274,14.409248,24.553773,18.898126,Sorghum
106,39.442634,20.02398,25.320653,Sorghum
223,162.96657,21.338191,21.661147,Potatoes
60,575.648422,-0.219325,35.717366,Potatoes
10,88.272305,12.336379,56.829683,Potatoes
253,215.256536,17.830451,68.697123,Potatoes
253,608.66656,22.237615,12.09704,Potatoes
10,1050.797209,13.831859,25.897803,Potatoes
71,55.127064,24.26534,233.043517,Potatoes
60,258.509731,6.512208,66.648404,Potatoes
70,221.679923,15.726342,43.308665,Potatoes
71,338.186503,22.368086,161.121843,Potatoes
19,197.288479,10.86203,75.667313,Potatoes
60,2020.416972,11.770955,58.452114,Potatoes
349,19.283542,10.982446,22.563861,Potatoes
95,23.017499,12.570037,87.794127,Potatoes
258,144.321454,16.664517,58.167365,Potatoes
104,1465.879621,10.476394,35.689488,Potatoes
130,277.188385,12.06188,83.69653,Potatoes
97,12.332512,13.507715,88.690846,Potatoes
118,13.932289,13.646616,98.1871,Potatoes
114,204.026964,13.352292,73.532343,Potatoes
115,274.900399,14.143055,78.88248,Potatoes
60,23.951818,9.539729,116.01235,Potatoes
117,60.136763,10.824946,61.333191,Potatoes
73,13.020241,12.150296,93.288633,Potatoes
84,95.073202,10.876744,81.838486,Potatoes
63,94.507923,12.903461,89.992827,Potatoes
125,601.116647,12.769665,59.865854,Potatoes
108,18.418158,14.037317,92.529356,Potatoes
74,221.370781,8.1309,28.514037,Potatoes
100,47.588848,13.376358,98.917159,Potatoes
120,2.438432,14.395152,90.660425,Potatoes
115,6.111299,12.687437,23.300572,Potatoes
74,648.806653,9.71714,22.607005,Potatoes
